From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
jaro - 19,jaro - 11,Lapaz - Monfort Blvd,1340.94,2200,0.61
jaro - 19,lapaz - 9,Monfort Blvd (Rev),1442.2,2200,0.656
jaro - 20,jaro - 11,Monfort Blvd - Leganes (Rev),1152.8,2200,0.524
jaro - 21,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 (Rev),0.0,2200,0.0
jaro - 22,jaro - 15,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4 (Rev),0.0,2200,0.0
jaro - 23,jaro - 15,Iloilo Radial By-Pass Rd 4 (Rev),0.0,2200,0.0
jaro - 24,jaro - 16,Old Iloilo-Capiz Rd - Pavia (Rev),0.0,4400,0.0
jaro - 25,jaro - 3,Jereos St (Rev),0.0,1100,0.0
lapaz - 1,lapaz - 3,Luna St - Huervana St (Rev),302.96,2200,0.138
lapaz - 1,lapaz - 10,Luna St - Esplanade 5,255.14,2200,0.116
lapaz - 1,lapaz - 2,Huervana St - Rizal St,112.62,4400,0.026
lapaz - 2,lapaz - 3,Rizal St - Luna St,0.0,4400,0.0
lapaz - 2,lapaz - 4,Huervana St - Burgos St,112.62,2200,0.051
lapaz - 2,lapuz - 2,Rizal St - Huervana St,0.0,2200,0.0
lapaz - 3,jaro - 1,Luna St,302.96,2200,0.138
lapaz - 3,lapaz - 1,Luna St - Huervana St,255.14,2200,0.116
lapaz - 4,lapaz - 2,Huervana St - Burgos St (Rev),0.0,2200,0.0
lapaz - 4,lapaz - 5,Huervana St - Jereos St,773.89,4400,0.176
lapaz - 4,lapuz - 1,Divinagracia St,0.0,1100,0.0
lapaz - 5,lapaz - 6,Jereos St - Huervana Ext,552.84,4400,0.126
lapaz - 5,lapaz - 8,Lopez Jaena St,773.89,2200,0.352
lapaz - 6,lapaz - 7,Huervana Ext,552.84,3300,0.168
lapaz - 6,jaro - 3,Jereos St,0.0,1100,0.0
lapaz - 7,lapaz - 4,Burgos St - Huervana St,661.27,4400,0.15
lapaz - 7,jaro - 2,Burgos St,552.84,1100,0.503
lapaz - 8,lapaz - 5,Lopez Jaena St (Rev),552.84,2200,0.251
lapaz - 8,lapaz - 9,Baldoza St,773.89,2200,0.352
lapaz - 9,lapaz - 8,Baldoza St (Rev),552.84,2200,0.251
lapaz - 9,lapuz - 7,Coastal Rd,159.26,2200,0.072
lapaz - 9,jaro - 19,Monfort Blvd,1515.47,2200,0.689
